---------------------------------------------------
| INDEX |                 INFO | PARENT |  L-SIB |
---------------------------------------------------
|     1 |              Program |      0 |      0 |
|     2 |     Declaration_list |      1 |      0 |
|     3 |              Cmpstmt |      1 |      2 |
|     4 |          Declaration |      2 |      0 |
|     5 |     Declaration_list |      2 |      4 |
|     6 |                 Type |      3 |      0 |
|     7 |           IDENTIFIER |      3 |      6 |
|     8 |                  int |      4 |      0 |
|     9 |          Declaration |      5 |      0 |
|    10 |     Declaration_list |      5 |      9 |
|    11 |                 Type |      6 |      0 |
|    12 |           IDENTIFIER |      6 |     11 |
|    13 |                  int |      9 |      0 |
|    14 |          Declaration |     10 |      0 |
|    15 |                 Type |     11 |      0 |
|    16 |           IDENTIFIER |     11 |     15 |
|    17 |                  int |     14 |      0 |
|    18 |                 Stmt |     15 |      0 |
|    19 |              Cmpstmt |     15 |     18 |
|    20 |               IOstmt |     18 |      0 |
|    21 |                 cout |     19 |      0 |
|    22 |                   << |     19 |     21 |
|    23 |                CONST |     19 |     22 |
|    24 |                 Stmt |     20 |      0 |
|    25 |              Cmpstmt |     20 |     24 |
|    26 |               IOstmt |     24 |      0 |
|    27 |                  cin |     25 |      0 |
|    28 |                   >> |     25 |     27 |
|    29 |           IDENTIFIER |     25 |     28 |
|    30 |                 Stmt |     26 |      0 |
|    31 |              Cmpstmt |     26 |     30 |
|    32 |               IOstmt |     30 |      0 |
|    33 |                 cout |     31 |      0 |
|    34 |                   << |     31 |     33 |
|    35 |                CONST |     31 |     34 |
|    36 |                 Stmt |     32 |      0 |
|    37 |              Cmpstmt |     32 |     36 |
|    38 |               IOstmt |     36 |      0 |
|    39 |                  cin |     37 |      0 |
|    40 |                   >> |     37 |     39 |
|    41 |           IDENTIFIER |     37 |     40 |
|    42 |                 Stmt |     38 |      0 |
|    43 |              Cmpstmt |     38 |     42 |
|    44 |               IOstmt |     42 |      0 |
|    45 |                 cout |     43 |      0 |
|    46 |                   << |     43 |     45 |
|    47 |                CONST |     43 |     46 |
|    48 |                 Stmt |     44 |      0 |
|    49 |              Cmpstmt |     44 |     48 |
|    50 |               IOstmt |     48 |      0 |
|    51 |                  cin |     49 |      0 |
|    52 |                   >> |     49 |     51 |
|    53 |           IDENTIFIER |     49 |     52 |
|    54 |                 Stmt |     50 |      0 |
|    55 |              Cmpstmt |     50 |     54 |
|    56 |          Struct_stmt |     54 |      0 |
|    57 |              If_stmt |     55 |      0 |
|    58 |                   if |     56 |      0 |
|    59 |                    [ |     56 |     58 |
|    60 |            Condition |     56 |     59 |
|    61 |                    ] |     56 |     60 |
|    62 |                    { |     56 |     61 |
|    63 |              Cmpstmt |     56 |     62 |
|    64 |                    } |     56 |     63 |
|    65 |                 else |     56 |     64 |
|    66 |                    { |     56 |     65 |
|    67 |              Cmpstmt |     56 |     66 |
|    68 |                    } |     56 |     67 |
|    69 |           Expression |     57 |      0 |
|    70 |             RELATION |     57 |     69 |
|    71 |           Expression |     57 |     70 |
|    72 |                 Term |     60 |      0 |
|    73 |       Math_operators |     60 |     72 |
|    74 |                 Term |     60 |     73 |
|    75 |           IDENTIFIER |     63 |      0 |
|    76 |                    + |     67 |      0 |
|    77 |           IDENTIFIER |     69 |      0 |
|    78 |                   == |     70 |      0 |
|    79 |                 Term |     71 |      0 |
|    80 |           IDENTIFIER |     72 |      0 |
|    81 |                 Stmt |     73 |      0 |
|    82 |               IOstmt |     74 |      0 |
|    83 |                 cout |     79 |      0 |
|    84 |                   << |     79 |     83 |
|    85 |                CONST |     79 |     84 |
|    86 |                 Stmt |     81 |      0 |
|    87 |               IOstmt |     82 |      0 |
|    88 |                 cout |     86 |      0 |
|    89 |                   << |     86 |     88 |
|    90 |                CONST |     86 |     89 |
|    91 |                 Stmt |     87 |      0 |
|    92 |               IOstmt |     91 |      0 |
|    93 |                 cout |     92 |      0 |
|    94 |                   << |     92 |     93 |
|    95 |                CONST |     92 |     94 |
---------------------------------------------------
